,Año,Clave_Ent,Entidad,Cve. Municipio,Municipio,Tipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
23,2015,1,Aguascalientes,1001,Aguascalientes,Otros delitos que atentan contra la vida y la integridad corporal,4,9,30,24,0,0,0,0.0,0.0,0.0,0.0,0.0
121,2015,1,Aguascalientes,1002,Asientos,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
219,2015,1,Aguascalientes,1003,Calvillo,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
317,2015,1,Aguascalientes,1004,Cosío,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
415,2015,1,Aguascalientes,1005,Jesús María,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
513,2015,1,Aguascalientes,1006,Pabellón de Arteaga,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
611,2015,1,Aguascalientes,1007,Rincón de Romos,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
709,2015,1,Aguascalientes,1008,San José de Gracia,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
807,2015,1,Aguascalientes,1009,Tepezalá,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0
905,2015,1,Aguascalientes,1010,El Llano,Otros delitos que atentan contra la vida y la integridad corporal,0,0,2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1003,2015,1,Aguascalientes,1011,San Francisco de los Romo,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1101,2015,2,Baja California,2001,Ensenada,Otros delitos que atentan contra la vida y la integridad corporal,7,8,9,10,0,0,0,0.0,0.0,0.0,0.0,0.0
1199,2015,2,Baja California,2002,Mexicali,Otros delitos que atentan contra la vida y la integridad corporal,14,12,16,25,0,0,0,0.0,0.0,0.0,0.0,0.0
1297,2015,2,Baja California,2003,Tecate,Otros delitos que atentan contra la vida y la integridad corporal,2,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1395,2015,2,Baja California,2004,Tijuana,Otros delitos que atentan contra la vida y la integridad corporal,22,25,21,14,0,0,0,0.0,0.0,0.0,0.0,0.0
1493,2015,2,Baja California,2005,Playas de Rosarito,Otros delitos que atentan contra la vida y la integridad corporal,2,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0
1591,2015,3,Baja California Sur,3001,Comondú,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
1689,2015,3,Baja California Sur,3002,Mulegé,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
1787,2015,3,Baja California Sur,3003,La Paz,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
1885,2015,3,Baja California Sur,3008,Los Cabos,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0
1983,2015,3,Baja California Sur,3009,Loreto,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2081,2015,4,Campeche,4001,Calkiní,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2179,2015,4,Campeche,4002,Campeche,Otros delitos que atentan contra la vida y la integridad corporal,0,0,1,0,1,0,0,0.0,0.0,1.0,0.0,1.0
2277,2015,4,Campeche,4003,Carmen,Otros delitos que atentan contra la vida y la integridad corporal,2,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
2375,2015,4,Campeche,4004,Champotón,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2473,2015,4,Campeche,4005,Hecelchakán,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2571,2015,4,Campeche,4006,Hopelchén,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2669,2015,4,Campeche,4007,Palizada,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2767,2015,4,Campeche,4008,Tenabo,Otros delitos que atentan contra la vida y la integridad corporal,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2865,2015,4,Campeche,4009,Escárcega,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
2963,2015,4,Campeche,4010,Calakmul,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3061,2015,4,Campeche,4011,Candelaria,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
3159,2015,5,Coahuila de Zaragoza,5001,Abasolo,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3257,2015,5,Coahuila de Zaragoza,5002,Acuña,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3355,2015,5,Coahuila de Zaragoza,5003,Allende,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3453,2015,5,Coahuila de Zaragoza,5004,Arteaga,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3551,2015,5,Coahuila de Zaragoza,5005,Candela,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3649,2015,5,Coahuila de Zaragoza,5006,Castaños,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3747,2015,5,Coahuila de Zaragoza,5007,Cuatro Ciénegas,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3845,2015,5,Coahuila de Zaragoza,5008,Escobedo,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
3943,2015,5,Coahuila de Zaragoza,5009,Francisco I. Madero,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4041,2015,5,Coahuila de Zaragoza,5010,Frontera,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0
4139,2015,5,Coahuila de Zaragoza,5011,General Cepeda,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
4237,2015,5,Coahuila de Zaragoza,5012,Guerrero,Otros delitos que atentan contra la vida y la integridad corporal,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
